date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:13	103230/103230	---M--	200	added ('OK')	image/png	etag:%22ea299044cb2ccd515dd8b68dec6a537f%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/splash/mobile/cover.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/splash/mobile/cover.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:14	5740/5740	---M--	200	added ('OK')	image/png	etag:%223fa7b17cad2065be62412ee3ff34ec8d%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/kittytitle.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/kittytitle.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:15	156/156	---M--	200	added ('OK')	image/png	etag:%223acf8bcf11d68e4548ad5bb9866215ec%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/misc/invisible.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/misc/invisible.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:17	11714/11714	---M--	200	added ('OK')	image/jpeg	etag:%22c5c108e57f1762c090490bb07ae89d68%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/backgrounds/desktop/background.jpg	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/backgrounds/desktop/background.jpg	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:17	671/671	---M--	200	added ('OK')	image/png	etag:%223d93192ff360cc28f9a5b647470e7911%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/number_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/number_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:18	428/428	---M--	200	added ('OK')	image/png	etag:%22b7acf4da09811687b57f4d8e8c2ec30b%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/input-box.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/input-box.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:18	118/118	---M--	200	added ('OK')	image/png	etag:%22b0379c561afaaf66a102aa845c88ca71%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/buttons_back.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/buttons_back.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:19	1402/1402	---M--	200	added ('OK')	image/png	etag:%2297f12262b866917b6c2969c29419d84d%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/home_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/home_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:20	1387/1387	---M--	200	added ('OK')	image/png	etag:%22762f08203dc946154867c3756f2674b4%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/backspace_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/backspace_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:20	66965/66965	---M--	200	added ('OK')	image/png	etag:%223ada1f927237af0c3e688f7e88c2e3eb%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/title.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/title.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
